GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaddemProject,tn.esprit.kaddemproject.controllers,DepartementRestController,3,0,0,0,1,0,1,0,1,0
kaddemProject,tn.esprit.kaddemproject.controllers,EtudiantRestController,24,0,0,0,5,0,4,0,4,0
kaddemProject,tn.esprit.kaddemproject.controllers,ContratRestController,19,0,0,0,3,0,3,0,3,0
kaddemProject,tn.esprit.kaddemproject.controllers,EquipeRestController,34,0,0,0,8,0,7,0,7,0
kaddemProject,tn.esprit.kaddemproject.controllers,UniversiteRestController,19,0,0,0,4,0,3,0,3,0
kaddemProject,tn.esprit.kaddemproject.entities,Contrat,111,3,0,0,9,1,15,1,15,1
kaddemProject,tn.esprit.kaddemproject.entities,Etudiant,69,3,0,0,9,1,14,1,14,1
kaddemProject,tn.esprit.kaddemproject.entities,Universite,29,3,0,0,5,1,6,1,6,1
kaddemProject,tn.esprit.kaddemproject.entities,Niveau,0,34,0,0,0,2,0,1,0,1
kaddemProject,tn.esprit.kaddemproject.entities,Specialite,0,44,0,0,0,2,0,1,0,1
kaddemProject,tn.esprit.kaddemproject.entities,Departement,29,3,0,0,5,1,6,1,6,1
kaddemProject,tn.esprit.kaddemproject.entities,Equipe,29,21,0,0,13,9,8,4,8,4
kaddemProject,tn.esprit.kaddemproject.entities,Option,0,44,0,0,0,2,0,1,0,1
kaddemProject,tn.esprit.kaddemproject.entities,DetailEquipe,39,3,0,0,6,1,8,1,8,1
kaddemProject,tn.esprit.kaddemproject.services,IEquipeServiceImpl,138,20,20,0,32,4,19,4,8,4
kaddemProject,tn.esprit.kaddemproject.services,IEtudiantServiceImp,74,0,4,0,16,0,6,0,4,0
kaddemProject,tn.esprit.kaddemproject.services,IDepartementServiceImpl,3,0,0,0,1,0,1,0,1,0
kaddemProject,tn.esprit.kaddemproject.services,IContratServiceImp,147,0,8,0,32,0,14,0,10,0
kaddemProject,tn.esprit.kaddemproject.services,IUniversiteServiceImpl,376,0,46,0,61,0,38,0,15,0
kaddemProject,tn.esprit.kaddemproject.util,HelperClass,14,0,0,0,3,0,2,0,2,0
kaddemProject,tn.esprit.kaddemproject.aspects,LoggingAspect,37,0,0,0,8,0,4,0,4,0
kaddemProject,tn.esprit.kaddemproject.aspects,PerformanceAspect,70,0,0,0,17,0,4,0,4,0
kaddemProject,tn.esprit.kaddemproject.configuration,OpenAPIConfig,71,0,0,0,20,0,6,0,6,0
kaddemProject,tn.esprit.kaddemproject,KaddemProjectApplication,5,7,0,0,2,2,1,2,1,2
kaddemProject,tn.esprit.kaddemproject.generic,GenericController,27,0,0,0,6,0,6,0,6,0
kaddemProject,tn.esprit.kaddemproject.generic,IGenericServiceImp,36,3,2,0,8,1,6,1,5,1
